TABLEAU P3D - INDICATEURS GÉNÉRAUX DE POPULATION PAR DÉPARTEMENT ET RÉGION;;;;;
;;;;;
;;;;Espérance de vie à la naissance (b);
Départements et régions;Indicateur conjoncturel de fécondité (a);Proportion de naissances hors mariage (a);Âge moyen à l'accouchement (a);Hommes;Femmes
Martinique;1,97;81,1;29,8;78,4;84,6
Guyane;3,82;90,0;28,8;76,5;82,5
La Réunion;2,36;77,2;29,2;77,3;84,5
Mayotte (d);4,58;91,7;29,0;75,0;76,2
Départements et régions d'Outre Mer;2,85;84,4;29,2;77,4;83,8
France (e);1,86;61,1;30,7;79,7;85,6
;;;;;
a. Département de domicile de la mère;;;;;
b. Département de domicile du décédé;;;;;
c. Sous-total des événements ayant eu lieu en France Métropolitaine;;;;;
d. Les espérances de vie à Mayotte sont diffusées mais sont peu fiables. En effet, pour ce département, les données sur les décès sont à considérer prudemment car elles sont probablement sous-estimées.;;;;;
e. Total des événements ayant eu lieu en France (96 départements métropolitains + 5 départements d'outre-mer);;;;;
Champ : France inclus Mayotte;;;;;
Source : Insee, statistiques de l'état civil et estimations de population;;;;;
